drone_id,application,drone_size,drone_model,manufacturer,propeller_count,max_carry_weight,actual_carry_weight,payload_type,payload_description,altitude,flight_duration,distance_flown,operator_id,flight_date,battery_remaining,gps_accuracy,wind_speed,obstacles_encountered,flight_status,regulatory_approval_id,notes,overweight_flag,weight_ratio,risk_score
D0001,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2.0,0.9,Sensor,Temperature and humidity sensor,38,25.0,5.0,OP001,2025-04-09,89,1.2,2.5,No,Completed,REG-2026-UAV-0001,,0,0.45,1.2586864501638897
D0002,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.1,Liquid Tank,Insecticide,34,34.0,10.1,OP010,2025-12-28,47,3.1,7.2,Yes,Completed,REG-2026-UAV-0002,,0,0.8550000000000001,3.027128778870428
D0003,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Wide lens,82,18.0,5.9,OP015,2025-07-16,97,1.2,2.5,No,Completed,REG-2026-UAV-0003,,0,0.7,1.426695193410074
D0004,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,16.8,Liquid Tank,Water for testing,33,30.0,9.5,OP011,2025-04-13,46,3.2,7.1,Yes,Completed,REG-2026-UAV-0004,,0,0.8400000000000001,2.982529316450922
D0005,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.6,Camera,Trail camera,105,50.0,16.0,OP011,2025-04-28,68,1.7,4.3,Yes,Completed,REG-2026-UAV-0005,,0,0.39999999999999997,2.3989876183984458
D0006,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14.0,7.0,"Camera, Sensor","Infrared camera, gas leak detector",40,58.0,18.0,OP014,2025-03-09,73,2.3,6.8,Yes,Completed,REG-2026-UAV-0006,Inspecting oil and gas pipelines,0,0.5,2.9551693117425852
D0007,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.9,Package,Documents,71,26.0,8.2,OP007,2025-04-28,84,2.0,3.6,No,Completed,REG-2026-UAV-0007,,0,0.58,1.7374615398250821
D0008,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.5,Camera,Standard lens,87,20.0,5.7,OP012,2026-01-28,95,1.1,2.2,No,Completed,REG-2026-UAV-0008,,0,0.5,1.423711102182498
D0009,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.2,Camera,Action camera,84,16.0,5.8,OP006,2025-05-15,97,1.0,2.2,No,Completed,REG-2026-UAV-0009,,0,0.2,1.0857445380056854
D0010,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Standard,86,20.0,5.8,OP002,2025-09-14,94,1.1,2.1,No,Completed,REG-2026-UAV-0010,,0,0.6,1.391894111408849
