drone_id,application,drone_size,drone_model,manufacturer,propeller_count,max_carry_weight,actual_carry_weight,payload_type,payload_description,altitude,flight_duration,distance_flown,operator_id,flight_date,battery_remaining,gps_accuracy,wind_speed,obstacles_encountered,flight_status,regulatory_approval_id,notes,overweight_flag,weight_ratio,risk_score
D001,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.5,Package,Small consumer goods,50,25.0,8.0,OP001,2025-03-20,85,2.1,3.5,No,Completed,REG-2025-ABC-123,"Urban delivery, light package, good weather",0,0.5,0.8975083056478405
D002,Infrastructure Inspection,Large,Inspecta X,SkyView Inc.,6,15.0,8.0,"Camera, Sensor","High-resolution camera, thermal sensor",120,45.0,15.0,OP002,2025-03-21,68,1.8,6.2,Yes,Completed,REG-2025-DEF-456,"Bridge inspection, carried specialized equipment",0,0.5333333333333333,1.3561757105943153
D003,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.0,Liquid Tank,Pesticide solution,30,30.0,10.0,OP003,2025-03-22,40,3.5,7.8,Yes,Completed,REG-2025-GHI-789,"Field spraying, full tank, moderate wind",0,0.9,1.490365448504983
D004,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.5,Camera,Lightweight action camera,80,20.0,5.0,OP004,2025-03-23,92,1.2,2.1,No,Completed,REG-2025-JKL-012,"Recreational use, clear skies",0,0.5,1.076124031007752
D005,Surveillance,Medium,Watcher Pro,SecureTech,4,7.0,3.0,"Camera, Sensor","Infrared camera, motion detection sensor",100,60.0,12.0,OP005,2025-03-24,55,2.5,4.9,No,Completed,REG-2025-MNO-345,"Security patrol, nighttime operation",0,0.42857142857142855,1.22984496124031
D006,Surveying,Medium,MapMaker Z,GeoSurv,6,10.0,6.0,LiDAR System,Light Detection and Ranging system,70,35.0,9.0,OP006,2025-03-25,78,1.5,3.1,No,Completed,REG-2025-PQR-678,"Land mapping, precise data collection",0,0.6,1.1269767441860465
D007,Search and Rescue,Large,Guardian SR,RescueFly,8,12.0,5.0,"Camera, Beacon","Thermal camera, emergency locator beacon",150,50.0,18.0,OP007,2025-03-26,62,2.8,5.5,Yes,Completed,REG-2025-STU-901,Searching for missing person in forested area,0,0.4166666666666667,1.163499446290144
D008,Film Production,Large,CineDrone X,FilmCraft,8,18.0,10.0,Camera,Professional cinema camera with gimbal,60,40.0,7.0,OP008,2025-03-27,70,2.0,4.2,No,Completed,REG-2025-VWX-234,Filming aerial shots for a movie,0,0.5555555555555556,1.1255813953488372
D009,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2.0,1.2,Sensor,Air quality sampling device,40,28.0,6.0,OP009,2025-03-28,88,1.1,2.7,No,Completed,REG-2025-YZA-567,Collecting air pollution data over urban area,0,0.6,1.2383932346723046
D010,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3.0,1.5,Scanner,Barcode and RFID scanner,15,30.0,4.0,OP010,2025-03-29,75,0.9,1.5,No,Completed,REG-2025-BCD-890,Indoor inventory management,0,0.5,1.477390180878553
